context,question,answer
"CREATE TABLE table_name_1 (losses INTEGER, wins VARCHAR, runs_allowed VARCHAR)",How many losses did the team with 0 wins and more than 72 runs allowed have?,SELECT SUM(losses) FROM table_name_1 WHERE wins = 0 AND runs_allowed > 72
"CREATE TABLE table_name_26 (year VARCHAR, movie_title VARCHAR)",What year was Jamboree made?,"SELECT year FROM table_name_26 WHERE movie_title = ""jamboree"""
"CREATE TABLE table_22825679_1 (percentage VARCHAR, team VARCHAR)",Name the percentage for georgia,"SELECT percentage FROM table_22825679_1 WHERE team = ""Georgia"""
"CREATE TABLE table_25085059_3 (cfl_team VARCHAR, college VARCHAR)",What team got a draft pick player from McGill?,"SELECT cfl_team FROM table_25085059_3 WHERE college = ""McGill"""
"CREATE TABLE table_name_36 (years VARCHAR, representative VARCHAR)",What years did J. Smith Young serve as a Representative?,"SELECT years FROM table_name_36 WHERE representative = ""j. smith young"""
"CREATE TABLE table_name_29 (winner VARCHAR, year VARCHAR, loser VARCHAR)",Who was the winner of the game in 1999 with Kansas City Chiefs as the loser?,"SELECT winner FROM table_name_29 WHERE year = 1999 AND loser = ""kansas city chiefs"""
"CREATE TABLE table_23308178_4 (score VARCHAR, date VARCHAR)",What was the score on October 29?,"SELECT score FROM table_23308178_4 WHERE date = ""October 29"""
"CREATE TABLE table_name_41 (player VARCHAR, date VARCHAR)",Which Player has a Date of 13 july 2007?,"SELECT player FROM table_name_41 WHERE date = ""13 july 2007"""
"CREATE TABLE table_name_37 (year INTEGER, weight_class__kg_ VARCHAR, event VARCHAR, venue VARCHAR)","What is the highest year that has fila world championships as the event, with toledo, united states as the venue, and a weight class (kg) less than 97?","SELECT MAX(year) FROM table_name_37 WHERE event = ""fila world championships"" AND venue = ""toledo, united states"" AND weight_class__kg_ < 97"
"CREATE TABLE table_29920800_1 (us_viewers__million_ VARCHAR, written_by VARCHAR)",How many millions of U.S viewers watched the episode written by Liz Feldman? ,"SELECT us_viewers__million_ FROM table_29920800_1 WHERE written_by = ""Liz Feldman"""
"CREATE TABLE table_name_28 (driver VARCHAR, time_retired VARCHAR, laps VARCHAR, grid VARCHAR)","What driver has under 53 laps, a grid smaller than 14, and a time/retired of differential?","SELECT driver FROM table_name_28 WHERE laps < 53 AND grid < 14 AND time_retired = ""differential"""
"CREATE TABLE table_name_24 (lane INTEGER, nationality VARCHAR, split__50m_ VARCHAR)",What is the total of lane(s) for swimmers from Sweden with a 50m split of faster than 26.25?,"SELECT SUM(lane) FROM table_name_24 WHERE nationality = ""sweden"" AND split__50m_ < 26.25"
"CREATE TABLE table_name_88 (opponent VARCHAR, time__et_ VARCHAR, week VARCHAR, game_site VARCHAR)",Who did they play at lincoln financial field at 8:30 (ET) after week 14?,"SELECT opponent FROM table_name_88 WHERE week > 14 AND game_site = ""lincoln financial field"" AND time__et_ = ""8:30"""
"CREATE TABLE table_name_43 (heat INTEGER, time VARCHAR, lane VARCHAR)",What is the average of all Heats of competitors with a Time of 59.11 and a lane higher than 3?,"SELECT AVG(heat) FROM table_name_43 WHERE time = ""59.11"" AND lane > 3"
"CREATE TABLE table_name_21 (high_assists VARCHAR, game VARCHAR, record VARCHAR)","Which High assists have a Game larger than 21, and a Record of 18-6?","SELECT high_assists FROM table_name_21 WHERE game > 21 AND record = ""18-6"""
"CREATE TABLE table_name_61 (country VARCHAR, label VARCHAR)",What is the country for Sony / Sony Bmg?,"SELECT country FROM table_name_61 WHERE label = ""sony / sony bmg"""
"CREATE TABLE table_name_45 (outcome VARCHAR, score VARCHAR)","What is the Outcome of the game with a Score of 6–4, 6–4?","SELECT outcome FROM table_name_45 WHERE score = ""6–4, 6–4"""
"CREATE TABLE table_name_47 (broadcasts__tv__1 INTEGER, series VARCHAR, us_release_date VARCHAR)","What is the sum of Broadcasts (TV) 1, when Series is ""3 4"", and when US Release Date is ""27 December 2006""?","SELECT SUM(broadcasts__tv__1) FROM table_name_47 WHERE series = ""3 4"" AND us_release_date = ""27 december 2006"""
"CREATE TABLE table_name_99 (record VARCHAR, date VARCHAR)",Which Record has a Date of december 17?,"SELECT record FROM table_name_99 WHERE date = ""december 17"""
"CREATE TABLE table_name_18 (episode VARCHAR, airdate__canada_ VARCHAR)",What is the total number of episodes aired in Canada on 22 October 2004?,"SELECT COUNT(episode) FROM table_name_18 WHERE airdate__canada_ = ""22 october 2004"""
"CREATE TABLE table_name_82 (date VARCHAR, label VARCHAR, catalog VARCHAR)","What is the date of the item with a label of Sony BMG, Epic and a Catalog number 5187482?","SELECT date FROM table_name_82 WHERE label = ""sony bmg, epic"" AND catalog = ""5187482"""
"CREATE TABLE table_name_52 (poles INTEGER, fastest_laps INTEGER)",What is the smallest number of poles when the fastest laps are less than 0?,SELECT MIN(poles) FROM table_name_52 WHERE fastest_laps < 0
"CREATE TABLE table_name_39 (home_team VARCHAR, venue VARCHAR)",Which team plays at Lake Oval?,"SELECT home_team FROM table_name_39 WHERE venue = ""lake oval"""
"CREATE TABLE table_21093403_1 (locale VARCHAR, shot_pct VARCHAR)",Where was the shot pct 78?,SELECT locale FROM table_21093403_1 WHERE shot_pct = 78
"CREATE TABLE table_name_27 (year INTEGER, character VARCHAR)",What is the year that has a character named Wu Ji Wei (無極威)?,"SELECT AVG(year) FROM table_name_27 WHERE character = ""wu ji wei (無極威)"""
"CREATE TABLE table_1341568_39 (district VARCHAR, incumbent VARCHAR)",What districts does incumbent Curt Weldon hold?,"SELECT district FROM table_1341568_39 WHERE incumbent = ""Curt Weldon"""
"CREATE TABLE Employees (employee_ID VARCHAR, employee_name VARCHAR)",What is the id for the employee called Ebba?,"SELECT employee_ID FROM Employees WHERE employee_name = ""Ebba"""
CREATE TABLE table_name_15 (Id VARCHAR),What is the 1993 value of the 1996 atp masters series?,"SELECT 1993 FROM table_name_15 WHERE 1996 = ""atp masters series"""
"CREATE TABLE table_name_81 (time VARCHAR, notes VARCHAR, athlete VARCHAR)",What is the time of frida svensson's race that had sa/b under the notes?,"SELECT time FROM table_name_81 WHERE notes = ""sa/b"" AND athlete = ""frida svensson"""
"CREATE TABLE table_name_37 (bachelorette VARCHAR, premiered VARCHAR)","Who is the bachelorette of the season that premiered on May 24, 2010?","SELECT bachelorette FROM table_name_37 WHERE premiered = ""may 24, 2010"""
"CREATE TABLE table_name_3 (opponent VARCHAR, streak VARCHAR, date VARCHAR)","who is the opponent when the streak is won 9 on april 13, 1990?","SELECT opponent FROM table_name_3 WHERE streak = ""won 9"" AND date = ""april 13, 1990"""
"CREATE TABLE table_name_77 (year VARCHAR, nominated_work VARCHAR, category VARCHAR)",what year has general nominated in the category or choice breakthrough artist?,"SELECT COUNT(year) FROM table_name_77 WHERE nominated_work = ""general"" AND category = ""choice breakthrough artist"""
"CREATE TABLE table_name_69 (fa_cup INTEGER, malaysia_cup INTEGER)",What is the lowest number of FA cups associated with 0 malaysia cups?,SELECT MIN(fa_cup) FROM table_name_69 WHERE malaysia_cup < 0
"CREATE TABLE table_2840500_4 (position VARCHAR, player VARCHAR)",How many draft pick positions did Matt Bradley have?,"SELECT COUNT(position) FROM table_2840500_4 WHERE player = ""Matt Bradley"""
"CREATE TABLE table_221315_3 (max_mach VARCHAR, max_speed__mph_ VARCHAR)",What was the max mach when the maximum speed was 3887?,SELECT max_mach FROM table_221315_3 WHERE max_speed__mph_ = 3887
"CREATE TABLE table_name_26 (record VARCHAR, home VARCHAR)",Can you tell me the Record that has the Home of ny islanders?,"SELECT record FROM table_name_26 WHERE home = ""ny islanders"""
"CREATE TABLE table_name_98 (gold INTEGER, silver VARCHAR, sport VARCHAR)",I want the lowest Gold for silver being 2 and electronic sports,"SELECT MIN(gold) FROM table_name_98 WHERE silver = 2 AND sport = ""electronic sports"""
"CREATE TABLE table_name_43 (result VARCHAR, date VARCHAR)",What is the Result with a Date with 22 january 2008?,"SELECT result FROM table_name_43 WHERE date = ""22 january 2008"""
"CREATE TABLE table_22546460_4 (best_female_artist VARCHAR, best_male_lyricist VARCHAR)",Who won the Best Female Artist where Best R&B Contributor won the Best Male Lyricist?,"SELECT best_female_artist FROM table_22546460_4 WHERE best_male_lyricist = ""Best R&B Contributor"""
"CREATE TABLE table_name_85 (laps VARCHAR, driver VARCHAR)",I want the total number of Laps for Rubens Barrichello,"SELECT COUNT(laps) FROM table_name_85 WHERE driver = ""rubens barrichello"""
"CREATE TABLE table_11803648_17 (nationality VARCHAR, player VARCHAR)",WHERE IS ANDRE PETERSSON FROM?,"SELECT nationality FROM table_11803648_17 WHERE player = ""Andre Petersson"""
"CREATE TABLE table_name_21 (driver_s_ VARCHAR, primary_sponsor_s_ VARCHAR)",Parts Plus sponsors what driver?,"SELECT driver_s_ FROM table_name_21 WHERE primary_sponsor_s_ = ""parts plus"""
"CREATE TABLE table_name_78 (year INTEGER, college VARCHAR, pick VARCHAR)",What is the earliest year for Alabama with a pick under 26?,"SELECT MIN(year) FROM table_name_78 WHERE college = ""alabama"" AND pick < 26"
"CREATE TABLE table_name_6 (score VARCHAR, record VARCHAR)",Name the score with record of 17-27,"SELECT score FROM table_name_6 WHERE record = ""17-27"""
"CREATE TABLE table_name_2 (icao VARCHAR, iata VARCHAR)",What is the ICAO when the IATA shows mfm?,"SELECT icao FROM table_name_2 WHERE iata = ""mfm"""
"CREATE TABLE table_name_42 (mintage INTEGER, animal VARCHAR, year VARCHAR)","How many Red Breasted Nuthatch coins created before 2007 were minted, on average?","SELECT AVG(mintage) FROM table_name_42 WHERE animal = ""red breasted nuthatch"" AND year < 2007"
"CREATE TABLE table_name_72 (result VARCHAR, week VARCHAR)","What is Result, when Week is 16?",SELECT result FROM table_name_72 WHERE week = 16
"CREATE TABLE table_name_38 (historical_references VARCHAR, podcast_date VARCHAR)","What is the historical reference of the episode that aired on October 23, 2005?","SELECT historical_references FROM table_name_38 WHERE podcast_date = ""october 23, 2005"""
"CREATE TABLE table_11230937_2 (us_viewers__millions_ VARCHAR, no_in_season VARCHAR)",How many millions of viewers watched episode 15?,SELECT us_viewers__millions_ FROM table_11230937_2 WHERE no_in_season = 15
"CREATE TABLE table_name_30 (first_aired VARCHAR, role VARCHAR)",What's the first aired date when Professor Hubert Whitehead was the role?,"SELECT first_aired FROM table_name_30 WHERE role = ""professor hubert whitehead"""
"CREATE TABLE table_name_1 (player VARCHAR, round VARCHAR, position VARCHAR)","Which Player has a Round larger than 5, and a Position of (g)?","SELECT player FROM table_name_1 WHERE round > 5 AND position = ""(g)"""
"CREATE TABLE table_name_30 (away_team VARCHAR, venue VARCHAR)",What did the away team score at Junction oval?,"SELECT away_team AS score FROM table_name_30 WHERE venue = ""junction oval"""
"CREATE TABLE table_13026799_1 (winning_score VARCHAR, championship VARCHAR)",What was the winning score of the PGA Championship (3)?,"SELECT winning_score FROM table_13026799_1 WHERE championship = ""PGA championship (3)"""
"CREATE TABLE table_name_84 (hdtv VARCHAR, content VARCHAR)",What is the HDTV when documentaries are the content?,"SELECT hdtv FROM table_name_84 WHERE content = ""documentaries"""
"CREATE TABLE table_name_44 (points_for VARCHAR, losing_bonus VARCHAR, points_against VARCHAR)",How many points did the club with a losing bonus of 2 and 300 points against have?,"SELECT points_for FROM table_name_44 WHERE losing_bonus = ""2"" AND points_against = ""300"""
"CREATE TABLE table_name_98 (team_1 VARCHAR, team_2 VARCHAR)",What is the team 1 when Ulisses is team 2?,"SELECT team_1 FROM table_name_98 WHERE team_2 = ""ulisses"""
"CREATE TABLE table_21538523_1 (class VARCHAR, type VARCHAR)",Type FJ/RN/SC is associated with what class?,"SELECT class FROM table_21538523_1 WHERE type = ""FJ/RN/SC"""
"CREATE TABLE table_name_40 (to_par VARCHAR, year_s__won VARCHAR)",What is the to par number of the person who won in 2003?,"SELECT to_par FROM table_name_40 WHERE year_s__won = ""2003"""
"CREATE TABLE table_22916979_2 (population__2000_census_ VARCHAR, census_designated_place VARCHAR)",what is the total number of population where census designated place is westmont?,"SELECT COUNT(population__2000_census_) FROM table_22916979_2 WHERE census_designated_place = ""Westmont"""
"CREATE TABLE table_name_14 (venue VARCHAR, away_team VARCHAR)",In which venue was North Melbourne the Away team?,"SELECT venue FROM table_name_14 WHERE away_team = ""north melbourne"""
"CREATE TABLE table_name_33 (status VARCHAR, date VARCHAR)",What status has 15/04/1967 as the date?,"SELECT status FROM table_name_33 WHERE date = ""15/04/1967"""
"CREATE TABLE table_name_72 (attendance VARCHAR, week VARCHAR, date VARCHAR)","What was the attendance of the game on September 18, 1965 before week 3?","SELECT attendance FROM table_name_72 WHERE week < 3 AND date = ""september 18, 1965"""
"CREATE TABLE table_name_11 (date VARCHAR, attendance VARCHAR)","What date has attendance listed as 45,024?","SELECT date FROM table_name_11 WHERE attendance = ""45,024"""
"CREATE TABLE table_name_8 (draws INTEGER, goal_difference VARCHAR, points VARCHAR, wins VARCHAR)","What is the highest draws that have 31 for points, wins greater than 12, with a goal difference less than 11?",SELECT MAX(draws) FROM table_name_8 WHERE points = 31 AND wins > 12 AND goal_difference < 11
"CREATE TABLE table_name_80 (game INTEGER, record VARCHAR, october VARCHAR)","Which Game has a Record of 5–3–1, and an October smaller than 29?","SELECT SUM(game) FROM table_name_80 WHERE record = ""5–3–1"" AND october < 29"
"CREATE TABLE table_19047_2 (championship VARCHAR, score_in_the_final VARCHAR)","What tournament did she win with a final score of 4–6, 7–5, 6–2?","SELECT championship FROM table_19047_2 WHERE score_in_the_final = ""4–6, 7–5, 6–2"""
"CREATE TABLE table_name_4 (crowd VARCHAR, venue VARCHAR)",How many people watch at Western Oval venue?,"SELECT COUNT(crowd) FROM table_name_4 WHERE venue = ""western oval"""
"CREATE TABLE table_name_33 (date VARCHAR, game VARCHAR)",What was the date for Game 41?,"SELECT date FROM table_name_33 WHERE game = ""41"""
"CREATE TABLE table_name_72 (state VARCHAR, current_governor VARCHAR)",What state is susana martinez from?,"SELECT state FROM table_name_72 WHERE current_governor = ""susana martinez"""
"CREATE TABLE table_13464416_8 (location_attendance VARCHAR, record VARCHAR)",What was the location and attendance when the team's record was 16-44?,"SELECT location_attendance FROM table_13464416_8 WHERE record = ""16-44"""
"CREATE TABLE table_26593762_2 (team VARCHAR, manager VARCHAR)",Who is the captain of Neil Warnock's team?,"SELECT team AS captain FROM table_26593762_2 WHERE manager = ""Neil Warnock"""
"CREATE TABLE table_22824312_1 (hometown VARCHAR, player VARCHAR)",What is jim dutcher's hometown?,"SELECT hometown FROM table_22824312_1 WHERE player = ""Jim Dutcher"""
"CREATE TABLE table_27547668_4 (directed_by VARCHAR, written_by VARCHAR)",what is the total number of films directy and written by john callaghan?,"SELECT COUNT(directed_by) FROM table_27547668_4 WHERE written_by = ""John Callaghan"""
"CREATE TABLE table_2417340_4 (successor VARCHAR, vacator VARCHAR, district VARCHAR)",Who was the successor for vacant louisiana 5th,"SELECT successor FROM table_2417340_4 WHERE vacator = ""Vacant"" AND district = ""Louisiana 5th"""
"CREATE TABLE table_name_61 (spanish_voice_actor VARCHAR, french_voice_actor VARCHAR)",Which Spanish voice actor does the same character as French voice actor Dennis Boileau?,"SELECT spanish_voice_actor FROM table_name_61 WHERE french_voice_actor = ""dennis boileau"""
"CREATE TABLE customers (customer_id VARCHAR, customer_name VARCHAR); CREATE TABLE customers_policies (customer_id VARCHAR)","How many policies are listed for the customer named ""Dayana Robel""?","SELECT COUNT(*) FROM customers AS t1 JOIN customers_policies AS t2 ON t1.customer_id = t2.customer_id WHERE t1.customer_name = ""Dayana Robel"""
"CREATE TABLE table_name_85 (state___territory VARCHAR, building VARCHAR)",What state/territory has lovett tower as the building?,"SELECT state___territory FROM table_name_85 WHERE building = ""lovett tower"""
"CREATE TABLE table_name_41 (stadium VARCHAR, date VARCHAR)",What is the Stadium held on november 29?,"SELECT stadium FROM table_name_41 WHERE date = ""november 29"""
"CREATE TABLE table_27671835_3 (members_lost INTEGER, net_change VARCHAR)",What is the lowest number of members lost when the  net change is −1?,"SELECT MIN(members_lost) FROM table_27671835_3 WHERE net_change = ""−1"""
"CREATE TABLE table_2676980_4 (participating_parties VARCHAR, registered_voters VARCHAR)",What is the number of participating parties when registered voters totaled 643629?,SELECT COUNT(participating_parties) FROM table_2676980_4 WHERE registered_voters = 643629
"CREATE TABLE stadium (name VARCHAR, capacity VARCHAR)",Find the name of the stadium that has the maximum capacity.,SELECT name FROM stadium ORDER BY capacity DESC LIMIT 1
"CREATE TABLE table_name_70 (high_rebounds VARCHAR, game VARCHAR)",What is the High rebounds of a Game with 56?,SELECT high_rebounds FROM table_name_70 WHERE game = 56
"CREATE TABLE table_name_95 (school_club_team VARCHAR, player VARCHAR)",Which School/Club Team does Vince Carter Play for?,"SELECT school_club_team FROM table_name_95 WHERE player = ""vince carter"""
"CREATE TABLE table_name_30 (senior_status VARCHAR, chief_judge VARCHAR)",Which Senior status has a Chief Judge of 1991–1995?,"SELECT senior_status FROM table_name_30 WHERE chief_judge = ""1991–1995"""
"CREATE TABLE table_name_36 (competition VARCHAR, result VARCHAR, score VARCHAR)",What is the competition type of the event with a result of 3-2 and a score of 2-1?,"SELECT competition FROM table_name_36 WHERE result = ""3-2"" AND score = ""2-1"""
"CREATE TABLE table_name_19 (year INTEGER, moves VARCHAR, opening VARCHAR, result VARCHAR, black VARCHAR)","What year had a black of Kramnik, opening of E05 Catalan Opening, moves greater than 38, and a result of ½–½?","SELECT MAX(year) FROM table_name_19 WHERE result = ""½–½"" AND black = ""kramnik"" AND opening = ""e05 catalan opening"" AND moves > 38"
"CREATE TABLE table_name_69 (torque VARCHAR, notes VARCHAR, engine VARCHAR)","what is the torque when the notes are laredo, limited, overland and the engine is 5.7l hemi v8?","SELECT torque FROM table_name_69 WHERE notes = ""laredo, limited, overland"" AND engine = ""5.7l hemi v8"""
"CREATE TABLE table_name_91 (democratic_seat_plurality VARCHAR, state_ranked_in_partisan_order VARCHAR)",What is the democratic seat plurality with partisan order of New Hampshire?,"SELECT democratic_seat_plurality FROM table_name_91 WHERE state_ranked_in_partisan_order = ""new hampshire"""
"CREATE TABLE festival_detail (Festival_Name VARCHAR, YEAR VARCHAR)",What are the names of festivals held in year 2007?,SELECT Festival_Name FROM festival_detail WHERE YEAR = 2007
"CREATE TABLE table_23829490_1 (media_type VARCHAR, genre VARCHAR)",What is every media type for the World genre?,"SELECT media_type FROM table_23829490_1 WHERE genre = ""World"""
"CREATE TABLE employees (department_id VARCHAR, salary INTEGER)",return the smallest salary for every departments.,"SELECT MIN(salary), department_id FROM employees GROUP BY department_id"
"CREATE TABLE table_name_25 (total INTEGER, rank VARCHAR, silver VARCHAR)",What is the smallest total number of medals for rank 11 and more than 0 silver medals?,"SELECT MIN(total) FROM table_name_25 WHERE rank = ""11"" AND silver > 0"
"CREATE TABLE table_1289860_2 (result VARCHAR, background VARCHAR)",How many people had a prosecutor background?,"SELECT COUNT(result) FROM table_1289860_2 WHERE background = ""Prosecutor"""
"CREATE TABLE table_name_99 (lived_when___mya__ VARCHAR, discovery___publication_of_name VARCHAR)",Tell me lived for name of 1994/2003,"SELECT lived_when___mya__ FROM table_name_99 WHERE discovery___publication_of_name = ""1994/2003"""
"CREATE TABLE Professionals (professional_id VARCHAR, cell_number VARCHAR); CREATE TABLE Treatments (professional_id VARCHAR)",Which professionals have done at least two types of treatments? List the professional id and cell phone.,"SELECT T1.professional_id, T1.cell_number FROM Professionals AS T1 JOIN Treatments AS T2 ON T1.professional_id = T2.professional_id GROUP BY T1.professional_id HAVING COUNT(*) >= 2"
"CREATE TABLE table_name_11 (viewers__millions_ INTEGER, rating VARCHAR, weekly_rank VARCHAR, share VARCHAR)",Which rating larger than 5 have the lowest amount of views in #3 rank with a share of 9?,"SELECT MIN(viewers__millions_) FROM table_name_11 WHERE weekly_rank = ""#3"" AND share = 9 AND rating > 5"
"CREATE TABLE table_191105_3 (subject VARCHAR, performed_by VARCHAR)",WHen jaime aff and christine langner are the performers what is the subject?,"SELECT subject FROM table_191105_3 WHERE performed_by = ""Jaime Aff and Christine Langner"""
"CREATE TABLE table_name_58 (ends INTEGER, name VARCHAR, since VARCHAR)","What is the sum of Ends with a Name of abidal, and has a Since larger than 2007?","SELECT SUM(ends) FROM table_name_58 WHERE name = ""abidal"" AND since > 2007"
"CREATE TABLE table_11622840_1 (location VARCHAR, score VARCHAR)",How many locations logged a score of 206 (-7)?,"SELECT COUNT(location) FROM table_11622840_1 WHERE score = ""206 (-7)"""
"CREATE TABLE table_name_64 (high_assists VARCHAR, record VARCHAR)",Who had the highest assists when the nuggets record was 2-4?,"SELECT high_assists FROM table_name_64 WHERE record = ""2-4"""
"CREATE TABLE table_name_56 (years_for_grizzlies VARCHAR, position VARCHAR, school_club_team VARCHAR)",What are the years when the grizzlies had a point guard who attended the school/club Florida?,"SELECT years_for_grizzlies FROM table_name_56 WHERE position = ""point guard"" AND school_club_team = ""florida"""
"CREATE TABLE table_name_43 (driver VARCHAR, grid VARCHAR)",Which driver had a grid of 22?,"SELECT driver FROM table_name_43 WHERE grid = ""22"""
"CREATE TABLE table_name_16 (team_2 VARCHAR, team_1 VARCHAR)",What team 2 has lokomotiva as team 1?,"SELECT team_2 FROM table_name_16 WHERE team_1 = ""lokomotiva"""
"CREATE TABLE table_name_91 (label VARCHAR, format VARCHAR, region VARCHAR)",What is the label for the CD format in North America?,"SELECT label FROM table_name_91 WHERE format = ""cd"" AND region = ""north america"""
"CREATE TABLE table_name_26 (finish VARCHAR, player VARCHAR)",Name the finish with player lou graham,"SELECT finish FROM table_name_26 WHERE player = ""lou graham"""
"CREATE TABLE table_name_90 (capacity VARCHAR, torque__nm__rpm VARCHAR)",Name the capacity for the torque of n·m (lb·ft) @4150,"SELECT capacity FROM table_name_90 WHERE torque__nm__rpm = ""n·m (lb·ft) @4150"""
"CREATE TABLE table_name_43 (losses VARCHAR, byes INTEGER)",What is the total number of losses for teams with more than 0 byes?,SELECT COUNT(losses) FROM table_name_43 WHERE byes > 0
"CREATE TABLE table_name_64 (delivered_as VARCHAR, locomotive VARCHAR)",What is the Delivered as name of the H3 Locomotive?,"SELECT delivered_as FROM table_name_64 WHERE locomotive = ""h3"""
"CREATE TABLE table_name_60 (losses INTEGER, appearances VARCHAR, wins VARCHAR, rank VARCHAR)",Tell me the sum of losses for wins less than 2 and rank of 10 with appearances larger than 3,SELECT SUM(losses) FROM table_name_60 WHERE wins < 2 AND rank = 10 AND appearances > 3
"CREATE TABLE table_name_33 (points INTEGER, extra_points VARCHAR, field_goals VARCHAR)",Who had a points average with 0 extra points and 0 field goals?,SELECT AVG(points) FROM table_name_33 WHERE extra_points = 0 AND field_goals > 0
"CREATE TABLE table_name_35 (type VARCHAR, name VARCHAR)",What is the film type for the movie Sanctuary?,"SELECT type FROM table_name_35 WHERE name = ""sanctuary"""
"CREATE TABLE table_name_21 (format VARCHAR, catalog VARCHAR)",What format was used for Mobil 1?,"SELECT format FROM table_name_21 WHERE catalog = ""mobil 1"""
CREATE TABLE table_14407512_9 (points VARCHAR),What is the 1st(m) score for the Person who had a total points of 272.7,"SELECT 1 AS st__m_ FROM table_14407512_9 WHERE points = ""272.7"""
"CREATE TABLE table_name_12 (land_area__km²_ INTEGER, name VARCHAR, population_density__per_km²_ VARCHAR, population__2006_ VARCHAR)","Which Land area (km²) has a Population density (per km²) larger than 112.6, and a Population (2006) larger than 785, and a Name of pinehouse?","SELECT MAX(land_area__km²_) FROM table_name_12 WHERE population_density__per_km²_ > 112.6 AND population__2006_ > 785 AND name = ""pinehouse"""
"CREATE TABLE table_2140071_13 (episode VARCHAR, coach VARCHAR)",What is the summary for the episode with a coach named Rebecca Star?,"SELECT episode AS Summary FROM table_2140071_13 WHERE coach = ""Rebecca Star"""
"CREATE TABLE table_1301373_7 (Vice VARCHAR, captain VARCHAR, club VARCHAR)",Name the vice captain for melbourne victory,"SELECT Vice - captain FROM table_1301373_7 WHERE club = ""Melbourne Victory"""
CREATE TABLE table_17650725_1 (internal_transfers INTEGER),Name the least internal transfers,SELECT MIN(internal_transfers) FROM table_17650725_1
"CREATE TABLE table_name_82 (character_name VARCHAR, voice_actor__japanese_ VARCHAR)",what character did naoko watanabe play,"SELECT character_name FROM table_name_82 WHERE voice_actor__japanese_ = ""naoko watanabe"""
"CREATE TABLE table_name_41 (finish VARCHAR, wins VARCHAR)",What is the Finish of the Reno Bighorns Wins?,"SELECT finish FROM table_name_41 WHERE wins = ""reno bighorns"""
"CREATE TABLE table_name_61 (lost VARCHAR, points VARCHAR)",What is the Lost when the points were dissolved?,"SELECT lost FROM table_name_61 WHERE points = ""dissolved"""
"CREATE TABLE table_name_83 (ground VARCHAR, competition VARCHAR, time VARCHAR)","What is the ground of the tim trophy competition, which had a time of 23:00 cet?","SELECT ground FROM table_name_83 WHERE competition = ""tim trophy"" AND time = ""23:00 cet"""
"CREATE TABLE table_name_10 (lambda_functions VARCHAR, eval_function VARCHAR, functions VARCHAR, pseudorandom_number_generation VARCHAR, s_default_argument VARCHAR)","What is the lambda function without a pseudorandom number generation, no s default argument, no functions, and no eval function?","SELECT lambda_functions FROM table_name_10 WHERE pseudorandom_number_generation = ""no"" AND s_default_argument = ""no"" AND functions = ""no"" AND eval_function = ""no"""
"CREATE TABLE table_name_82 (venue VARCHAR, position VARCHAR, event VARCHAR, year VARCHAR)","Is there a Venus that's a year later than 2002, with an Event of 4x400m relay in 4th Position?","SELECT venue FROM table_name_82 WHERE event = ""4x400m relay"" AND year > 2002 AND position = ""4th"""
"CREATE TABLE table_16225511_2 (wins INTEGER, school VARCHAR)",What's the largest amount of wins Texas has? ,"SELECT MAX(wins) FROM table_16225511_2 WHERE school = ""Texas"""
"CREATE TABLE table_name_48 (manchu___möllendorff__ VARCHAR, wu_xing_correlations VARCHAR, wuu_wuupin VARCHAR)","What's Manchu (Möllendorff) with the Wi Xing Correltation of  南 South, along with Wuu Wuupin of ting44?","SELECT manchu___möllendorff__ FROM table_name_48 WHERE wu_xing_correlations = ""南 south"" AND wuu_wuupin = ""ting44"""
"CREATE TABLE table_name_28 (trans_1 VARCHAR, total_time VARCHAR)",How long did the trans 1 take when 2:00:40.20 is the total time?,"SELECT trans_1 FROM table_name_28 WHERE total_time = ""2:00:40.20"""
"CREATE TABLE table_name_81 (date VARCHAR, away_team VARCHAR)",On what date the footscray's away game?,"SELECT date FROM table_name_81 WHERE away_team = ""footscray"""
CREATE TABLE table_name_97 (council VARCHAR),What's the 2003 result for the falkirk council?,"SELECT 2003 AS _result FROM table_name_97 WHERE council = ""falkirk"""
"CREATE TABLE district (district_id VARCHAR, district_name VARCHAR); CREATE TABLE store_district (store_id VARCHAR, district_id VARCHAR); CREATE TABLE store (store_name VARCHAR, store_id VARCHAR)",Find the names of all stores in Khanewal District.,"SELECT t1.store_name FROM store AS t1 JOIN store_district AS t2 ON t1.store_id = t2.store_id JOIN district AS t3 ON t2.district_id = t3.district_id WHERE t3.district_name = ""Khanewal District"""
"CREATE TABLE table_name_51 (points VARCHAR, tries VARCHAR, appearance VARCHAR)",How many times is tries 0 and appearance less than 0?,SELECT COUNT(points) FROM table_name_51 WHERE tries = 0 AND appearance < 0
"CREATE TABLE table_name_40 (film VARCHAR, rank VARCHAR, director_s_ VARCHAR)","Which film, directed by Dana Dorian, was nominated?","SELECT film FROM table_name_40 WHERE rank = ""nominated"" AND director_s_ = ""dana dorian"""
"CREATE TABLE table_name_87 (nation VARCHAR, gold VARCHAR, bronze VARCHAR, silver VARCHAR)",Which nation has a Bronze and Silver smaller than 1 and a Gold larger than 1?,SELECT nation FROM table_name_87 WHERE bronze < 1 AND silver < 1 AND gold > 1
"CREATE TABLE table_name_98 (round INTEGER, nominees VARCHAR)",what is the earliest round for nominee david mundy?,"SELECT MIN(round) FROM table_name_98 WHERE nominees = ""david mundy"""
